R1_input,R2_input,R1_top,R2_top,R1_bot,R2_bot
crRNA0224:238-260,638.657148444024,564.142045338023,675.647764586217,574.948558616348,454.028045946722,585.524304007243
crRNA0225:239-261,450.712018288251,446.318962089219,384.442300832611,465.2186286596,420.396338839557,513.322827330675
crRNA0226:240-262,430.225108366058,491.142961151264,599.014747808953,407.179657442808,470.843899500304,408.482326950999
crRNA0227:241-263,539.785539689091,558.378959744331,533.876683548278,577.669135392135,825.505538084949,599.371162547955
crRNA0228:242-264,486.341426848587,504.590160869878,523.658947977976,493.331255342734,571.739020821798,472.771313032876
crRNA0229:243-265,528.205981906982,623.053586962425,495.560175159645,483.355807164848,666.519286305625,552.885280304137
crRNA0230:244-266,696.55493735457,498.186732432443,682.033849317656,806.197584558254,561.038023105882,564.754016196176
crRNA0231:245-267,441.804666148167,450.801361995424,472.570270126466,445.267732303828,496.832036810386,570.688384142195
crRNA0232:246-268,355.403350389352,315.689021965545,261.829473988988,299.263445336585,473.901327419137,434.19792138375
crRNA0233:247-269,630.640531517948,491.783303995008,770.161818611511,681.051052872046,619.129153563711,503.432214087309
crRNA0234:248-270,519.298629766898,515.475989213517,796.983374483553,543.208496232165,417.338910920724,338.258972923103
crRNA0235:249-271,743.763903697016,546.212445713205,622.004652842132,717.325409882541,1010.47992717435,813.997469928989
crRNA0236:250-272,685.866114786469,591.03644477525,693.528801834246,624.825799505779,802.5748286937,840.702125686076
crRNA0237:251-273,970.901383269158,1096.90729133261,1056.25841457997,878.746298579245,1213.79888377676,1027.63471598569
crRNA0238:252-274,969.119912841141,861.261124835007,1121.39647884064,887.814887831868,1039.52549240327,1095.87994736491
crRNA0239:253-275,1035.03431867776,925.9357520531,869.784740421955,699.188231377294,1114.43247641468,906.969234416626
crRNA0240:254-276,892.516684436419,865.743524741211,1009.00138756732,851.540530821373,1034.93935052502,909.936418389635
crRNA0241:255-277,654.690382296175,639.702500899756,634.77682230501,752.692907967774,733.782700519954,467.826006411193
crRNA0242:257-279,807.89683910562,856.778724928802,851.903703173926,701.908808153081,904.99866397461,1026.64565466135
crRNA0243:258-280,850.652129378024,948.347751584123,896.606296293998,754.506625818299,1074.68591346985,938.619196795395
crRNA0244:259-281,851.542864592032,777.376212304608,1278.49416323403,1293.18082742415,857.608531232697,614.207082413004
crRNA0245:260-282,989.606822763334,1179.51151817553,1353.84996306501,1102.74045311905,1397.24455890675,986.09414036355
crRNA0246:261-283,765.141548833217,758.806269836047,1154.60411944412,986.662510685468,898.883808136944,783.336568874555
crRNA0247:262-284,527.315246692974,665.316214649496,895.32907934771,683.771629647833,567.152878943548,647.835167440447
crRNA0248:263-285,609.262886381747,676.202042993135,1289.98911575062,1344.87178616411,551.865739349382,458.924454492164
crRNA0249:264-286,534.441128405041,551.975531306897,738.231394954317,613.94349240263,600.784586050713,558.819648250156
crRNA0250:265-287,863.122422374141,758.165926992303,676.924981532505,628.453235206828,1016.59478301202,769.489710333844
crRNA0251:266-288,572.742742607402,607.045015868837,665.430029015915,559.531956886887,623.715295441961,615.19614373734
crRNA0252:271-293,590.55744688757,651.869014930882,615.618568110693,752.692907967774,770.471835545952,649.81329008912
crRNA0253:272-294,742.873168483007,733.83289893005,730.568093276591,663.820733292061,843.850105597947,711.135092197987
crRNA0254:273-295,818.585661673721,837.568439616497,887.665777669983,759.947779369873,805.632256612533,681.46325246789
crRNA0255:274-296,477.434074708503,651.869014930882,1033.26850954679,1163.50000111163,314.915075639814,270.013741543881
crRNA0256:275-297,698.336407782587,734.473241773794,840.408750657337,598.52689067317,992.135359661355,817.953715226335
crRNA0257:276-298,904.986977432536,796.586497616913,1039.65459427822,720.952845583591,1163.35132311601,910.925479713972
crRNA0258:277-299,912.112859144603,918.891980771922,1218.46496675851,1222.44583125369,901.941236055777,865.42865879449
crRNA0259:278-300,781.174782685368,792.744440554452,802.092242268704,731.835152686739,1074.68591346985,900.04580514627
crRNA0260:279-301,619.951708949848,692.210614086723,886.388560723695,669.261886843635,753.65598199237,726.960073387372
crRNA0261:280-302,650.236706226133,785.700669273274,742.06304579318,761.761497220398,692.507423615707,902.023927794943
crRNA0262:281-303,597.683328599638,592.957473306481,752.280781363482,570.414263990036,614.543011685462,668.605455251515
crRNA0263:282-304,316.211000972983,304.162850778162,369.115697477159,339.165238048129,354.661638584645,393.646407085951
